1,2.631748
2,1.769100
3,1.171771
4,0.844061
5,0.664870
6,0.554235
7,0.479988
8,0.426533
9,0.385961
10,0.353937
11,0.327899
12,0.306235
13,0.287877
14,0.272085
15,0.258331
16,0.246226
17,0.235477
18,0.225856
19,0.217186
20,0.209327
21,0.202165
22,0.195605
23,0.189572
24,0.184002
25,0.178839
26,0.174040
27,0.169565
28,0.165380
29,0.161456
30,0.157770
31,0.154297
32,0.151020
33,0.147922
34,0.144986
35,0.142201
36,0.139554
37,0.137034
38,0.134632
39,0.132339
40,0.130148
41,0.128052
42,0.126044
43,0.124117
44,0.122268
45,0.120492
46,0.118783
47,0.117137
48,0.115552
49,0.114023
50,0.112548
51,0.111123
52,0.109745
53,0.108413
54,0.107123
55,0.105875
56,0.104664
57,0.103491
58,0.102352
59,0.101247
60,0.100173
61,0.099130
