0,0,-0.462630
0,1,0.451155
0,2,-0.089450
0,3,0.714774
0,4,0.402509
0,5,-0.904355
0,6,0.574084
0,7,-0.016572
0,8,0.000000
1,0,-0.333781
1,1,0.143161
1,2,0.543625
1,3,1.040726
1,4,-0.286829
1,5,-0.595954
1,6,-0.343338
1,7,0.993114
1,8,0.000000
2,0,-0.600330
2,1,-1.272651
2,2,4.816636
2,3,-0.634480
2,4,2.045178
2,5,1.286644
2,6,-1.394720
2,7,5.115340
2,8,0.000000
3,0,-0.861507
3,1,5.765282
3,2,3.092868
3,3,7.743573
3,4,0.968068
3,5,1.894613
3,6,0.513219
3,7,-3.872482
3,8,0.000000
4,0,-0.588061
4,1,0.313078
4,2,-0.975650
4,3,1.061025
4,4,1.500514
4,5,1.705656
4,6,3.970311
4,7,0.267447
4,8,0.000000
5,0,-0.302652
5,1,1.914318
5,2,-0.551104
5,3,-6.465451
5,4,0.918455
5,5,1.618390
5,6,-1.086842
5,7,1.487799
5,8,0.000000
6,0,0.491256
6,1,-19.915677
6,2,22.502914
6,3,-36.598762
6,4,-10.317529
6,5,-9.116492
6,6,-31.407087
6,7,31.622695
6,8,0.000000
7,0,0.629017
7,1,10.957687
7,2,27.407809
7,3,21.039262
7,4,-11.856635
7,5,-14.732007
7,6,-26.873401
7,7,1.552345
7,8,0.000000
8,0,-0.144566
8,1,-10.768795
8,2,-0.092190
8,3,2.233496
8,4,8.517577
8,5,3.282030
8,6,7.514137
8,7,11.597116
8,8,0.000000
9,0,0.645314
9,1,-15.585619
9,2,0.157780
9,3,-43.200605
9,4,3.490882
9,5,11.449058
9,6,-0.954104
9,7,11.586495
9,8,0.000000
10,0,-0.726859
10,1,6.156344
10,2,-3.001557
10,3,32.153002
10,4,-10.364354
10,5,-33.049931
10,6,-31.767254
10,7,-52.093292
10,8,0.000000
11,0,0.134068
11,1,20.911504
11,2,10.743130
11,3,22.777067
11,4,3.931085
11,5,9.722576
11,6,18.082210
11,7,-12.361844
11,8,0.000000
12,0,-0.686270
12,1,47.060070
12,2,39.485111
12,3,14.480053
12,4,-0.363776
12,5,17.918764
12,6,12.750061
12,7,-13.073690
12,8,0.000000
13,0,-0.591113
13,1,-7.680428
13,2,-16.869504
13,3,-6.791763
13,4,-0.276651
13,5,6.618353
13,6,14.472547
13,7,2.334040
13,8,0.000000
14,0,-0.402570
14,1,-10.635132
14,2,-27.825348
14,3,-31.552923
14,4,3.865088
14,5,-0.242142
14,6,3.515343
14,7,8.694969
14,8,0.000000
15,0,0.959044
15,1,-31.994350
15,2,-46.231317
15,3,-93.093691
15,4,2.551056
15,5,-1.422346
15,6,-10.435957
15,7,12.550306
15,8,0.000000
